City: Buffalo,NY, 365
 0 , 362
  1 , 364
  2 , 363
  3 , 160
  4 , 270
  5 , 365
  6 , 365
  7 , 365
  8 , 365
  9 , 365
  10 , 365
  11 , 365
  12 , 365
  13 , 365
  14 , 364
  15 , 365
  16 , 364
  17 , 364
  18 , 362
  19 , 365
  20 , 364
  21 , 364
  22 , 365
  23 , 365
 
City: Pittsburgh,PA, 365
 0 , 363
  1 , 359
  2 , 356
  3 , 147
  4 , 260
  5 , 363
  6 , 363
  7 , 362
  8 , 361
  9 , 364
  10 , 365
  11 , 362
  12 , 362
  13 , 364
  14 , 362
  15 , 363
  16 , 364
  17 , 360
  18 , 361
  19 , 363
  20 , 358
  21 , 362
  22 , 364
  23 , 362
 
City: Honolulu,HI, 365
 0 , 363
  1 , 362
  2 , 361
  3 , 363
  4 , 363
  5 , 363
  6 , 364
  7 , 364
  8 , 364
  9 , 9
  10 , 365
  11 , 365
  12 , 365
  13 , 364
  14 , 365
  15 , 365
  16 , 365
  17 , 365
  18 , 365
  19 , 365
  20 , 365
  21 , 365
  22 , 365
  23 , 365
 
City: Sunnyvale,CA, 363
 0 , 359
  1 , 360
  2 , 357
  3 , 358
  4 , 357
  5 , 358
  6 , 361
  7 , 360
  8 , 362
  9 , 362
  10 , 362
  11 , 361
  12 , 362
  13 , 361
  14 , 362
  15 , 361
  16 , 360
  17 , 361
  18 , 360
  19 , 360
  20 , 360
  21 , 358
  22 , 360
  23 , 359
 
City: Schaumburg,IL, 363
 0 , 349
  1 , 347
  2 , 343
  3 , 344
  4 , 342
  5 , 342
  6 , 341
  7 , 344
  8 , 346
  9 , 344
  10 , 345
  11 , 347
  12 , 346
  13 , 346
  14 , 346
  15 , 346
  16 , 346
  17 , 347
  18 , 347
  19 , 348
  20 , 345
  21 , 345
  22 , 350
  23 , 350
 
City: Miami,FL, 350
 0 , 350
  1 , 350
  2 , 349
  3 , 350
  4 , 350
  5 , 350
  6 , 350
  7 , 350
  8 , 350
  9 , 350
  10 , 350
  11 , 350
  12 , 350
  13 , 350
  14 , 350
  15 , 350
  16 , 350
  17 , 350
  18 , 350
  19 , 350
  20 , 349
  21 , 349
  22 , 349
  23 , 349
 
City: Richmond,VA, 361
 0 , 340
  1 , 340
  2 , 339
  3 , 337
  4 , 332
  5 , 331
  6 , 332
  7 , 321
  8 , 317
  9 , 320
  10 , 320
  11 , 320
  12 , 324
  13 , 326
  14 , 328
  15 , 334
  16 , 339
  17 , 343
  18 , 344
  19 , 347
  20 , 349
  21 , 349
  22 , 342
  23 , 341
 
